"Weighted average of eight capital cities"
"Weighted average of eight capital cities","Dec Qtr 2024 to Mar Qtr 2025","Mar Qtr 2024 to Mar Qtr 2025"
,"(% change)","(% change)"
"All groups CPI","0.9","2.4"
"Food and non-alcoholic beverages","1.2","3.2"
"Alcohol and tobacco","1.2","6.5"
"Clothing and footwear","-0.8","1.7"
"Housing","1.7","2.0"
"Furnishings, household equipment and services","-0.9","0.7"
"Health","2.9","4.1"
"Transport","1.0","-1.0"
"Communication","-0.3","0.0"
"Recreation and culture","-1.6","1.7"
"Education","5.2","5.7"
"Insurance and financial services","0.5","3.8"
"CPI analytical series",,
"All groups CPI, seasonally adjusted","0.9","2.4"
"Trimmed mean","0.7","2.9"
"Weighted median","0.7","3.0"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia March Quarter 2025"
